Feature,Coefficient,Absolute_Impact
numeric__Total_Trans_Ct,-3.0213571410789255,3.0213571410789255
numeric__Total_Trans_Amt,1.7878404186865382,1.7878404186865382
numeric__Total_Ct_Chng_Q4_Q1,-0.6070734371231912,0.6070734371231912
numeric__Total_Revolving_Bal,-0.604704759911748,0.604704759911748
numeric__Total_Relationship_Count,-0.6018236617751019,0.6018236617751019
categorical__Gender_M,-0.5885001628705536,0.5885001628705536
numeric__Contacts_Count_12_mon,0.5802328094884118,0.5802328094884118
numeric__Months_Inactive_12_mon,0.5578834145839919,0.5578834145839919
categorical__Card_Category_Blue,-0.5296606559154734,0.5296606559154734
categorical__Card_Category_Gold,0.48150255712777495,0.48150255712777495
categorical__Marital_Status_Married,-0.4271591999029936,0.4271591999029936
categorical__Income_Category_$120K +,0.32418412534853813,0.32418412534853813
categorical__Card_Category_Silver,-0.31028398750789304,0.31028398750789304
categorical__Income_Category_Unknown,-0.2906324009424001,0.2906324009424001
categorical__Income_Category_$40K - $60K,-0.24938935453895528,0.24938935453895528
categorical__Education_Level_Graduate,-0.23601779271415735,0.23601779271415735
categorical__Gender_F,0.22909866769502352,0.22909866769502352
categorical__Education_Level_Post-Graduate,0.1983155044307365,0.1983155044307365
numeric__Dependent_count,0.19526457614987544,0.19526457614987544
categorical__Income_Category_Less than $40K,-0.16861110409423904,0.16861110409423904
categorical__Marital_Status_Divorced,-0.1663312693273209,0.1663312693273209
numeric__Avg_Utilization_Ratio,-0.15854827706779537,0.15854827706779537
categorical__Income_Category_$80K - $120K,0.1464833803653836,0.1464833803653836
categorical__Education_Level_High School,-0.1445581801623204,0.1445581801623204
numeric__Total_Amt_Chng_Q4_Q1,-0.14448709947325006,0.14448709947325006
categorical__Education_Level_Doctorate,0.13705122467919092,0.13705122467919092
categorical__Marital_Status_Single,0.13285133973725247,0.13285133973725247
categorical__Education_Level_College,-0.13171387566647816,0.13171387566647816
categorical__Education_Level_Unknown,-0.12745864431172693,0.12745864431172693
categorical__Income_Category_$60K - $80K,-0.12143614131386667,0.12143614131386667
numeric__Months_on_book,-0.1154361490702392,0.1154361490702392
categorical__Marital_Status_Unknown,0.10123763431752544,0.10123763431752544
numeric__Credit_Limit,-0.07886825747068964,0.07886825747068964
categorical__Education_Level_Uneducated,-0.05501973143078241,0.05501973143078241
numeric__Avg_Open_To_Buy,-0.024321561948917433,0.024321561948917433
numeric__Customer_Age,0.010448992214587909,0.010448992214587909
categorical__Card_Category_Platinum,-0.0009594088799464665,0.0009594088799464665
